Sort,Curated.name,CASRN,EC,SMILES,ke1_call,ke1_mean_c_l_dep,ke1_c_dep,ke1_l_dep,ke2_call,ke2_val,ke3_call,ke3_val,insil_call,insil_ad,DA_ITS_Call_Key,DA_ITS_Pot_Key,DA_2o3_Call_Key
110,2-Hydroxyethyl acrylate,818-61-1,212-454-9,OCCOC(=O)C=C,1,61.31553098,100,22.63106195,1,54.85,1,2.1,0,Out,1,1B,1
111,2-Hydroxypropyl methacrylate,923-26-2,213-090-3,CC(O)COC(=O)C(C)=C,1,7.175179413,13.72087873,0.629480091,1,1.940084685,1,94.83,0,Out,0,NC,1
112,Imidazolidinyl urea,39236-46-9,254-372-6,OCN1C(NC(=O)NCNC(=O)NC2N(CO)C(=O)NC2=O)C(=O)NC1=O,1,30.1210334,60.01634074,0.225726052,1,2.89,1,11.4,1,In,1,1B,1
113,Iodocarb,55406-53-6,259-627-5,CCCCNC(=O)OCC#CI,1,50,100,0,1,6.62,1,2,1,In,1,1A,1
114,1-Iodohexane,638-45-9,211-339-0,CCCCCCI,0,0,0,0,1,3.666324392,1,38.27,1,Out,1,1B,1
115,Isobergamate,68683-20-5,272-066-0,CC(C)C1CC=C(CCOC=O)CC=1,,,,,1,1.83,,,1,In,1,1B,1
116,Isobornyl acetate,125-12-2,204-727-6,CC(=O)O[C@H]1C[C@H]2CC[C@@]1(C)C2(C)C,,,,,0,0.95,0,>200,0,Out,1,1B,0
117,p-Isobutyl-alpha-methylhydrocinnamaldehyde,6658-48-6,229-695-0,CC(C)Cc1ccc(CC(C)C=O)cc1,,,,,0,1.03,1,4.56,1,In,1,1B,0
118,2-Isobutyl-4-methyltetrahydro-2H-pyran-4-ol,63500-71-0,613-238-0,CC(C)CC1CC(C)(O)CCO1,,,,,0,1.42,0,188.81,0,In,0,NC,0
119,Isoeugenol,97-54-1,227-678-2,COc1cc(C=CC)ccc1O,1,57.09782587,93.4845549,20.71109683,1,6.41,1,44.8,1,In,1,1B,1
120,alpha-Isomethylionone,127-51-5,204-846-3,CC(=O)C(C)=CC1C(C)=CCCC1(C)C,1,9.042173486,18.08434697,0,0,1.03,1,22.3,1,In,1,1B,0
121,Isopropanol,67-63-0,200-661-7,CC(C)O,0,0,0,0,0,1.17,0,>200,0,Out,0,NC,0
122,Isopropyl myristate,110-27-0,203-751-4,CCCCCCCCCCCCCC(=O)OC(C)C,0,0.324958076,0.649916151,0,0,1.2,0,>200,0,In,0,NC,0
123,Kanamycin,59-01-8,200-411-7,NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(O)C(O)C1O,0,0.6,0.5,0.7,0,1.16,0,>200,1,In,0,NC,0
124,Kathon CG,55965-84-9,611-341-5; 911-418-6,CN1SC=CC1=O.CN1SC(Cl)=CC1=O,1,50,100,0,1,8.6,1,11.17,,,1,1A,1
125,Lactic acid,50-21-5,200-018-0,CC(O)C(O)=O,0,0.14111562,0.190641998,0.091589241,0,1.32,0,>200,0,In,0,NC,0
126,Lauryl gallate,1166-52-5,214-620-6,CCCCCCCCCCCCOC(=O)c1cc(O)c(O)c(O)c1,1,93.24439722,100,86.48879444,1,2.52,1,0.7,1,In,1,1A,1
127,Lilial,80-54-6,201-289-8,CC(Cc1ccc(cc1)C(C)(C)C)C=O,1,11.24332283,20.37900128,2.107644383,0,1.15,1,8.9,1,In,1,1B,1
128,D-Limonene,5989-27-5,227-813-5,CC(=C)[C@@H]1CCC(C)=CC1,1,16.54074226,33.08148452,0,0,1.14,1,30,1,In,1,1B,0
129,Linalool,78-70-6,201-134-4,CC(C)=CCCC(C)(O)C=C,0,0.008843297,0.017686594,0,0,1.22,1,41.4,1,In,1,1B,0
130,Maleic anhydride,108-31-6,203-571-6,O=C1OC(=O)C=C1,1,98.49300215,100,96.9860043,0,2.462223481,0,>200,1,In,1,1B,1
131,2-Mercaptobenzothiazole,149-30-4,205-736-8,Sc1nc2ccccc2s1,1,50,100,0,1,8.83,1,39.8,1,In,1,1A,1
132,2-Methoxy-p-cresol,93-51-6,202-252-9,COc1cc(C)ccc1O,1,9.197986908,8.990070387,9.405903429,0,1.02,1,13.3,1,In,1,1B,0
133,1-(4-Methoxyphenyl)pent-1-en-3-one,104-27-8,203-190-5,CCC(=O)C=Cc1ccc(OC)cc1,1,6.511770947,10.74906472,2.274477175,1,696.2222093,,,1,In,1,1B,1
134,Methyl acrylate,96-33-3,202-500-6,COC(=O)C=C,1,55.55,100,11.1,1,38.50077681,1,11.81,1,In,1,1A,1
135,Methyl 3-bromoproprionate,3395-91-3,222-247-5,COC(=O)CCBr,1,58.3536994,100,16.70739881,1,50.33010741,1,11.35,0,In,1,1B,1
136,Methyl dihydrojasmonate,24851-98-7,246-495-9,CCCCCC1C(CCC1=O)CC(=O)OC,,,,,0,1.89,,,0,Out,0,NC,0
137,Methyl methacrylate,80-62-6,201-297-1,COC(=O)C(C)=C,0,3.436984963,6.873969925,0,1,1.74,0,156.8,0,In,0,NC,1
138,Methyl methanesulphonate,66-27-3,200-625-0,COS(C)(=O)=O,1,14.41408789,21.3288193,7.499356482,1,516.4680175,1,2.44,1,In,1,1B,1
139,Methyl non-2-ynoate,111-80-8,203-909-2,CCCCCCC#CC(=O)OC,1,21.40655563,42.81311126,0,1,33.06,1,18,1,In,1,1B,1
140,Methyl oct-2-ynoate,111-12-6,203-836-6,CCCCCC#CC(=O)OC,1,46.68005598,93.29596221,0.064149757,1,46.62,1,39.1,1,In,1,1A,1
141,Methyl pyruvate,600-22-6,209-987-4,COC(=O)C(C)=O,0,0,0,0,0,1.103409068,0,>200,1,In,0,NC,0
142,Methyl o-toluate,89-71-4,201-932-2,COC(=O)c1ccccc1C,,,,,,,0,>200,1,Out,,,NA
143,1-(3-Methyl-2-benzofuranyl)ethanone,23911-56-0,429-100-6,CC(=O)c1oc2ccccc2c1C,,,,,0,2.06,0,>200,0,Out,1,1B,0
144,alpha-Methylcinnamaldehyde,101-39-3,202-938-8,CC(C=O)=Cc1ccccc1,1,29.33588385,57.05920103,1.612566674,1,138.83,1,9,1,In,1,1B,1
145,6-Methylcoumarin,92-48-8,202-158-8,Cc1ccc2OC(=O)C=Cc2c1,,,,,1,11.41,1,93.78,1,Out,0,NC,0
146,2-Methyldecanenitrile,69300-15-8,273-960-3,CCCCCCCCC(C)C#N,,,,,0,0.95,1,<10,0,In,1,1B,0
147,"6-Methylhepta-3,5-dien-2-one",1604-28-0,216-507-7,CC(=O)\C=C\C=C(C)C,,,,,1,435.04,1,9.31,1,In,1,1B,1
148,"5-Methylhexane-2,3-dione",13706-86-0,237-241-8,CC(C)CC(=O)C(C)=O,1,45.21089123,16.20632888,74.21545359,1,48.37,1,54.8,1,In,1,1B,1
149,Methylisothiazolinone,2682-20-4,220-239-6,CN1SC=CC1=O,1,39.45082085,78.9016417,0,1,22.6,1,9,1,In,1,1A,1
150,4-Methyl-2-nitroanisole,119-10-8,204-296-4,COc1ccc(C)cc1[N+]([O-])=O,0,0.365773199,0.731546398,0,1,2.283715081,0,150.48,0,Out,1,1B,1
151,Methylparaben,99-76-3,202-785-7,COC(=O)c1ccc(O)cc1,0,0.33107578,0.662151561,0,1,2.425864785,0,103.35,1,Out,0,NC,0
152,2-Methylundecanal,110-41-8,203-765-0,CCCCCCCCCC(C)C=O,1,8.45,16.9,0,1,7.684750591,1,60.75,1,In,1,1B,1
153,Metol,55-55-0,200-237-1,OS(O)(=O)=O.CNc1ccc(O)cc1.CNc1ccc(O)cc1,1,59.5541337,100,19.1082674,1,10.3,1,<1,1,In,1,1A,1
154,1-Naphthol,90-15-3,201-969-4,Oc1cccc2ccccc12,1,42.71919726,70.94166372,14.49673081,1,1.780006546,1,2.51,1,In,1,1B,1
155,Neomycin sulfate,1405-10-3,215-773-1,OS(O)(=O)=O.NC[C@@H]1OC(O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3N)[C@@H]2O)[C@H](N)[C@@H](O)[C@@H]1O,1,5.05,9.3,0.8,0,1.1,0,>200,1,In,1,1B,NA
156,4-Nitrobenzyl bromide,100-11-8,202-820-6,[O-][N+](=O)c1ccc(CBr)cc1,1,77.97492201,98.29126711,57.65857691,1,6.850668102,1,0.4,1,In,1,1A,1
157,2-Nitro-p-phenylenediamine,5307-14-2,226-164-5,Nc1ccc(N)c(c1)[N+]([O-])=O,1,15.67844236,31.35688473,0,1,4.53,1,5.4,1,In,1,1B,1
158,cis-6-Nonenal,2277-19-2,218-900-9,CCC=CCCCCC=O,1,12.6,16.7,8.5,1,9.785932675,1,5.93,1,In,1,1B,1
159,Octanoic acid,124-07-2,204-677-5,CCCCCCCC(O)=O,0,0.704485152,1.161405599,0.247564705,0,1.1,1,70.5,0,In,0,NC,0
160,OTNE,54464-57-2,259-174-3,CC1CC2CCCC(C)(C)C=2CC1(C)C(C)=O,0,1.6,2.6,0.6,0,1.32,1,21.34,1,In,1,1B,0
161,Oxalic acid,144-62-7,205-634-3,OC(=O)C(O)=O,0,0.133259264,0.115810559,0.150707969,1,2.715334657,0,>200,0,In,0,NC,1
162,Oxazolone,15646-46-5,239-713-9,CCOC=C1N=C(OC1=O)c1ccccc1,1,92.00416466,94.86915417,89.13917516,1,2.421118911,0,>200,1,In,1,1A,1
163,Penicillin G,61-33-6,200-506-3,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(O)=O,0,4.318699144,4.286538683,4.350859605,0,10.73,0,>200,1,In,1,1B,1
164,Pentachlorophenol,87-86-5,201-778-6,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,,,,,0,1,1,21.3,1,In,1,1B,1
165,Perillaldehyde,2111-75-3,218-302-8,CC(=C)C1CCC(C=O)=CC1,1,54.23308143,93.94523146,14.5209314,1,295.58,1,16.32,1,In,1,1A,1
166,3-Phenoxypropanenitrile,3055-86-5,221-278-1,N#CCCOc1ccccc1,0,3.378568964,0.295526259,6.461611669,0,1.097359017,0,131.4,0,Out,0,NC,1
167,Phenyl benzoate,93-99-2,202-293-2,O=C(Oc1ccccc1)c1ccccc1,0,2.946489618,3.754716425,2.138262811,0,1.28,0,100.7,1,In,1,1B,1
168,Phenylacetaldehyde,122-78-1,204-574-5,O=CCc1ccccc1,1,66.77112571,34.05248448,99.48976693,1,11.29,1,7,1,In,1,1A,1
169,p-Phenylenediamine,106-50-3,203-404-7,Nc1ccc(N)cc1,1,83.15649097,100,66.31298193,1,26.8,1,2.4,1,In,1,1A,1
170,"1-Phenylpropane-1,2-dione",579-07-7,209-435-2,CC(=O)C(=O)c1ccccc1,1,56.14808546,62.63147771,49.66469321,1,51.23269741,1,35,1,In,1,1A,1
171,Phthalic anhydride,85-44-9,201-607-5,O=C1OC(=O)c2ccccc12,1,50.09751928,0.195038569,100,0,1.265369406,0,>200,1,In,1,1B,0
172,Propyl gallate,121-79-9,204-498-2,CCCOC(=O)c1cc(O)c(O)c(O)c1,1,75.24649385,90.92230598,59.57068172,1,9.24,1,2,1,In,1,1A,1
173,Propylene glycol,57-55-6,200-338-0,CC(O)CO,0,0,0,0,0,1.24,0,>200,0,Out,0,NC,0
174,3-Propylidenephthalide,17369-59-4,241-402-8,CCC=C1OC(=O)c2ccccc12,1,11.12117603,9.926015029,12.31633704,0,1.1,1,10.08,0,Out,1,1B,1
175,Propylparaben,94-13-3,202-307-7,CCCOC(=O)c1ccc(O)cc1,,,,,1,9.7,1,23.9,0,In,1,1B,1
176,Pyridine,110-86-1,203-809-9,c1ccncc1,0,0.138895471,0,0.277790941,0,1.56,0,>200,0,In,0,NC,0
177,Resorcinol,108-46-3,203-585-2,Oc1cccc(O)c1,1,10.06481056,19.95794804,0.171673077,0,1.02,1,4.8,1,In,1,1B,0
178,Saccharin,81-07-2,201-321-0,O=C1NS(=O)(=O)c2ccccc12,0,0.814700699,0.858500545,0.770900853,0,1.121138371,0,>200,0,In,0,NC,0
179,Safranal,116-26-7,204-133-7,CC1C=CCC(C)(C)C=1C=O,1,27.45849002,44.20174508,10.71523496,1,339.0978295,1,12,1,In,1,1B,1
180,Salicylic acid,69-72-7,200-712-3,OC(=O)c1ccccc1O,0,0.369581333,0.739162666,0,0,1.13,0,>200,1,Out,0,NC,0
181,Sodium lauryl sulfate,151-21-3,205-788-1,[Na+].CCCCCCCCCCCCOS([O-])(=O)=O,0,0.2,0.2,0.2,0,1.16,1,54.6,0,In,0,NC,0
182,Squaric acid,2892-51-5,220-761-4,OC1=C(O)C(=O)C1=O,0,1.52511278,2.717801946,0.332423614,0,1.132248474,1,62.74,1,In,0,NC,0
183,Sulfanilamide,63-74-1,200-563-4,Nc1ccc(cc1)S(N)(=O)=O,0,0.92665232,1.85330464,0,0,1.371539774,0,>200,0,In,0,NC,0
184,Sulfanilic acid,121-57-3,204-482-5,Nc1ccc(cc1)S(O)(=O)=O,,,,,0,1.3,0,>200,0,In,0,NC,0
185,L-Tartaric acid,87-69-4,201-766-0,OC(C(O)C(O)=O)C(O)=O,,,,,0,1.16,0,>200,0,In,0,NC,0
186,Tetrachlorosalicylanilide,1154-59-2,214-576-8,Oc1c(Cl)cc(Cl)cc1C(=O)Nc1ccc(Cl)c(Cl)c1,1,46.50453829,90.71777115,2.291305425,1,4.84,1,2.4,0,Out,1,1A,1
187,"2,2,6,6-Tetramethylheptane-3,5-dione",1118-71-4,214-268-3,CC(C)(C)C(=O)CC(=O)C(C)(C)C,0,0.55887204,0.395829523,0.721914557,0,1.133924705,0,>200,1,In,1,1B,0
188,Thioglycerol,96-27-5,202-495-0,OCC(O)CS,,,,,0,1.5,1,88.2,1,In,1,1B,1
189,Thiram,137-26-8,205-286-2,CN(C)C(=S)SSC(=S)N(C)C,1,50,100,0,1,6.750299835,1,<0.1,0,Out,1,1A,1
190,alpha-Tocopherol,59-02-9,200-412-2,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCc2c(C)c(O)c(C)c(C)c2O1,0,1.75,3.5,0,1,2.09,0,>200,1,Out,0,NC,0
191,Triethanolamine,102-71-6,203-049-8,OCCN(CCO)CCO,0,0.15,0.2,0.1,0,1.11,0,189.5,0,In,0,NC,0
192,Trimellitic anhydride,552-30-7,209-008-0,OC(=O)c1ccc2C(=O)OC(=O)c2c1,1,51.04676146,2.44368829,99.64983463,0,1.138840843,0,>200,1,In,1,1A,1
193,Tropolone,533-75-5,208-577-2,OC1=CC=CC=CC1=O,0,3.155464933,6.310929866,0,1,2.592853738,1,2.5,1,In,1,1B,1
194,Undec-10-enal,112-45-8,203-973-1,C=CCCCCCCCCC=O,0,1.078934702,2.157869405,0,1,2.965974807,1,9.24,1,In,0,NC,0
195,Vanillin,121-33-5,204-465-2,COc1cc(C=O)ccc1O,0,1.719243719,3.20279831,0.235689127,0,1.4,1,49.9,1,In,0,NC,0
196,4-Vinylpyridine,100-43-6,202-852-0,C=Cc1ccncc1,1,50.35,100,0.7,1,134.4231721,1,3.13,1,In,1,1A,1
