Sort,Curated.name,CASRN,EC,SMILES,ke1_call,ke1_mean_c_l_dep,ke1_c_dep,ke1_l_dep,ke2_call,ke2_val,ke3_call,ke3_val,insil_call,insil_ad,DA_ITS_Call_Key,DA_ITS_Pot_Key,DA_2o3_Call_Key
33,Bis-GMA,1565-94-2,216-367-7,CC(=C)C(=O)OCC(O)COc1ccc(cc1)C(C)(C)c1ccc(OCC(O)COC(=O)C(C)=C)cc1,1,29.3539336,58.70786721,0,1,3.112996077,1,5.31,1,In,1,1B,1
34,Bourgeonal,18127-01-0,242-016-2,CC(C)(C)c1ccc(CCC=O)cc1,1,20.25,36.2,4.3,0,0.74,1,10.33,1,In,1,1B,1
35,1-Bromobutane,109-65-9,203-691-9,CCCCBr,,,,,0,,0,>200,0,In,0,NC,1
36,1-Bromohexane,111-25-1,203-850-2,CCCCCCBr,1,5.966313296,11.93262659,0,1,2,0,>200,0,In,0,NC,1
37,Bromothalonil,35691-65-7,252-681-0,BrCC(Br)(CCC#N)C#N,1,55.18013166,99.96026332,10.4,1,4.03,1,3,1,In,1,1A,1
38,Butan-1-ol,71-36-3,200-751-6,CCCCO,0,0.387623055,0.066941049,0.708305062,0,1.15,0,>200,0,Out,0,NC,0
39,2-Butoxyethyl acetate,112-07-2,203-933-3,CCCCOCCOC(C)=O,0,0.45,0.5,0.4,0,1.175570108,0,>200,0,In,0,NC,0
40,Butyl acrylate,141-32-2,205-480-7,CCCCOC(=O)C=C,1,39.17204972,72.62151578,5.722583659,1,6.897523175,1,6.03,1,In,1,1B,1
41,L-Carvone,6485-40-1,229-352-5,CC(=C)[C@@H]1CC=C(C)C(=O)C1,1,10.78259019,20.24820186,1.316978524,1,54,1,19.4,1,In,1,1B,1
42,CD-3,25646-71-3,247-161-5,OS(O)(=O)=O.OS(O)(=O)=O.OS(O)(=O)=O.CCN(CCNS(C)(=O)=O)c1ccc(N)c(C)c1.CCN(CCNS(C)(=O)=O)c1ccc(N)c(C)c1,1,50.7060843,99.74738472,1.664783875,1,115.7766787,1,1.07,1,In,1,1A,1
43,Chloramine-T,127-65-1,204-854-7,[Na+].Cc1ccc(cc1)S(=O)(=O)[N-]Cl,1,99.1,100,98.2,1,50.23378918,1,41.86,1,In,1,1B,1
44,3-Chloro-p-anisaldehyde,9/7/4903,225-532-2,COc1ccc(C=O)cc1Cl,1,18.7,32.6,4.8,0,1.348872715,1,31.23,1,In,1,1B,0
45,Chlorobenzene,108-90-7,203-628-5,Clc1ccccc1,,,,,0,1.5,0,>200,1,In,1,1B,0
46,Chlorothalonil,1897-45-6,217-588-1,Clc1c(Cl)c(C#N)c(Cl)c(C#N)c1Cl,1,48.22130712,95.63213158,0.810482673,1,6.677211476,,,1,In,1,1A,1
47,Chlorpromazine,50-53-3,200-045-8,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc12,1,24.55,48.2,0.9,0,1.07,1,5.7,1,In,1,1A,0
48,Cinnamaldehyde,104-55-2,203-213-9,O=CC=Cc1ccccc1,1,65.11964039,37.45801133,92.78126945,1,16.24,1,1,1,In,1,1A,1
49,Cinnamic alcohol,104-54-1,203-212-3,OCC=Cc1ccccc1,0,0,0,0,1,1.75,1,21.4,1,In,1,1B,1
50,Cinnamonitrile,1885-38-7,217-552-5,N#CC=Cc1ccccc1,,,,,1,1.85,1,99.47,1,In,1,1B,1
51,Citral,5392-40-5,226-394-6,CC(C)=CCCC(C)=CC=O,1,10.16214728,15.05532405,5.268970503,1,96.42,1,3.7,1,In,1,1B,1
52,Citronellol,106-22-9,203-375-0,C[C@@H](CCO)CCC=C(C)C,0,0.122743903,0.245487807,0,0,1.39,1,25.1,1,In,1,1B,1
53,Clofibrate,637-07-0,211-277-4,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,0,0,0,0,0,1.1,0,>200,0,In,0,NC,0
54,Coumarin,91-64-5,202-086-7,O=C1Oc2ccccc2C=C1,,,,,1,35.22,0,151.8,0,In,0,NC,0
55,Cyclamen aldehyde,103-95-7,203-161-7,CC(Cc1ccc(cc1)C(C)C)C=O,1,8.204892881,16.40978576,0,1,3.142524441,1,30.48,1,In,1,1B,1
56,trans-Dec-2-enal,3913-81-3,223-474-2,CCCCCCCC=CC=O,1,49.1,75,23.2,1,11.11022927,1,4.29,1,In,1,1B,1
57,DEET,134-62-3,205-149-7,CCN(CC)C(=O)c1cccc(C)c1,1,20.62063061,32.13238117,9.108880058,0,1.07,1,52.9,1,In,1,1B,0
58,Diacetyl,431-03-8,207-069-8,CC(=O)C(C)=O,1,47.1368598,91.72959889,2.54412071,1,37.22096142,1,10.89,1,In,1,1A,1
59,"2,5-Diaminotoluene sulfate",615-50-9,210-431-8,OS(O)(=O)=O.Cc1cc(N)ccc1N,1,60.82209274,99.94418547,21.7,1,43.8,1,1.7,1,In,1,1A,1
60,Dibenzoyl peroxide,94-36-0,202-327-6,O=C(OOC(=O)c1ccccc1)c1ccccc1,1,92.49964147,100,84.99928295,0,1.36,1,26.7,1,In,1,1B,0
61,Dibenzyl ether,103-50-4,203-118-2,C(OCc1ccccc1)c1ccccc1,1,32.2,59.9,4.5,1,3.37,0,>200,1,In,1,1B,1
62,Dibutyl phthalate,84-74-2,201-557-4,CCCCOC(=O)c1ccccc1C(=O)OCCCC,0,0,0,0,1,2.867724574,1,97.5,0,In,0,NC,0
63,"N,N-Dibutylaniline",613-29-6,210-335-6,CCCCN(CCCC)c1ccccc1,0,0.077456432,0.154912865,0,0,1.402913213,1,20.56,1,In,0,NC,0
64,"1,1-Dichloroethene",75-35-4,200-864-0,ClC(Cl)=C,0,0.005110157,0,0.010220314,0,1.032466947,0,>200,0,In,0,NC,0
65,Diethyl maleate,141-05-9,205-451-9,CCOC(=O)C=CC(=O)OCC,1,48.00180447,93.00492763,2.998681307,1,60.73,1,7,1,In,1,1A,1
66,Diethyl phthalate,84-66-2,201-550-6,CCOC(=O)c1ccccc1C(=O)OCC,0,0.321489553,0.54111768,0.101861425,0,1.07,0,121,0,In,0,NC,0
67,Diethyl sulfate,64-67-5,200-589-6,CCOS(=O)(=O)OCC,0,0.547425942,0.594262558,0.500589327,1,7.183650611,1,21.6,1,In,1,1B,1
68,Diethylenetriamine,111-40-0,203-865-4,NCCNCCN,1,5.731523379,11.46304676,0,0,1.49,0,>200,1,In,1,1B,0
69,"3,4-Dihydrocoumarin",119-84-6,204-354-9,O=C1CCc2ccccc2O1,1,12.42380731,2.309172081,22.53844254,0,1.017617057,0,>200,1,In,1,1B,1
70,Dihydroeugenol,2785-87-7,220-499-0,CCCc1ccc(O)c(OC)c1,1,21,15.3,26.7,1,1.539323235,1,46.8,1,In,1,1B,0
71,Dihydromyrcenol,18479-58-8,242-362-4,CC(CCCC(C)(C)O)C=C,,,,,0,1.06,0,>200,0,Out,0,NC,0
72,Dimethyl fumarate,624-49-7,210-849-0,COC(=O)C=CC(=O)OC,1,52.35,100,4.7,1,20.19,1,1.4,1,In,1,1A,1
73,3-(Dimethylamino)propylamine,109-55-7,203-680-9,CN(C)CCCN,1,19.9165724,39.8331448,0,1,30.2,0,103.2,1,In,1,1B,1
74,Diphenylcyclopropenone,886-38-4,212-948-4,O=C1C(c2ccccc2)=C1c1ccccc1,1,37.31283982,70.20701203,4.4186676,1,28.05,1,0.2,1,In,1,1A,1
